bloque,implementacion,metodo,escenario,semilla,n_inicial,n_final,k,repeticion,capacidad_antes,capacidad_despues,crecimiento,total_ns,ns_por_operacion,checksum
colas,ColaEnlazada,front,general,20260932,10,10,50000,9,-1,-1,false,800,0.016,300000
colas,ColaEnlazada,front,general,20260932,10,10,50000,10,-1,-1,false,700,0.014,300000
colas,ColaEnlazada,size,no_vacia,20260932,10,10,50000,1,-1,-1,false,700,0.014,500000
colas,ColaEnlazada,size,no_vacia,20260932,10,10,50000,2,-1,-1,false,700,0.014,500000
colas,ColaEnlazada,size,no_vacia,20260932,10,10,50000,3,-1,-1,false,700,0.014,500000
colas,ColaEnlazada,size,no_vacia,20260932,10,10,50000,4,-1,-1,false,700,0.014,500000
colas,ColaEnlazada,size,no_vacia,20260932,10,10,50000,5,-1,-1,false,800,0.016,500000
colas,ColaEnlazada,size,no_vacia,20260932,10,10,50000,6,-1,-1,false,700,0.014,500000
colas,ColaEnlazada,size,no_vacia,20260932,10,10,50000,7,-1,-1,false,700,0.014,500000
colas,ColaEnlazada,size,no_vacia,20260932,10,10,50000,8,-1,-1,false,700,0.014,500000
colas,ColaEnlazada,size,no_vacia,20260932,10,10,50000,9,-1,-1,false,700,0.014,500000
colas,ColaEnlazada,size,no_vacia,20260932,10,10,50000,10,-1,-1,false,700,0.014,500000
colas,ColaEnlazada,isEmpty,no_vacia,20260932,10,10,50000,1,-1,-1,false,0,0.000,0
colas,ColaEnlazada,isEmpty,no_vacia,20260932,10,10,50000,2,-1,-1,false,0,0.000,0
colas,ColaEnlazada,isEmpty,no_vacia,20260932,10,10,50000,3,-1,-1,false,0,0.000,0
colas,ColaEnlazada,isEmpty,no_vacia,20260932,10,10,50000,4,-1,-1,false,0,0.000,0
colas,ColaEnlazada,isEmpty,no_vacia,20260932,10,10,50000,5,-1,-1,false,0,0.000,0
colas,ColaEnlazada,isEmpty,no_vacia,20260932,10,10,50000,6,-1,-1,false,0,0.000,0
