bloque,implementacion,metodo,escenario,n_anterior,n_actual,factor_n,mediana_anterior_ns,mediana_actual_ns,ratio_tiempo
pilas,PilaEnlazada,push,secuencia_amortizada,100,1000,10.0,39.0,36.400000000000006,0.9333333333333335
pilas,PilaEnlazada,push,secuencia_amortizada,1000,10000,10.0,36.400000000000006,6.525,0.17925824175824173
pilas,PilaEnlazada,push,secuencia_amortizada,10000,100000,10.0,6.525,3.7015000000000002,0.56727969348659
pilas,PilaArreglo,push,sin_redimensionamiento,10,100,10.0,7.625,5.825,0.7639344262295082
pilas,PilaArreglo,push,sin_redimensionamiento,100,1000,10.0,5.825,21.25,3.648068669527897
pilas,PilaArreglo,push,sin_redimensionamiento,1000,10000,10.0,21.25,37.5,1.7647058823529411
pilas,PilaArreglo,push,sin_redimensionamiento,10000,100000,10.0,37.5,33.333,0.88888
pilas,PilaEnlazada,push,sin_redimensionamiento,10,100,10.0,49.675,25.674999999999997,0.5168595873175641
pilas,PilaEnlazada,push,sin_redimensionamiento,100,1000,10.0,25.674999999999997,32.25,1.2560856864654335
pilas,PilaEnlazada,push,sin_redimensionamiento,1000,10000,10.0,32.25,30.0,0.9302325581395349
pilas,PilaEnlazada,push,sin_redimensionamiento,10000,100000,10.0,30.0,33.333,1.1111
pilas,PilaArreglo,size,no_vacia,10,100,10.0,0.016,0.014,0.875
pilas,PilaArreglo,size,no_vacia,100,1000,10.0,0.014,0.016,1.1428571428571428
pilas,PilaArreglo,size,no_vacia,1000,10000,10.0,0.016,0.014,0.875
pilas,PilaArreglo,size,no_vacia,10000,100000,10.0,0.014,0.016,1.1428571428571428
pilas,PilaEnlazada,size,no_vacia,10,100,10.0,4.23,0.612,0.14468085106382977
pilas,PilaEnlazada,size,no_vacia,100,1000,10.0,0.612,0.014,0.022875816993464054
pilas,PilaEnlazada,size,no_vacia,1000,10000,10.0,0.014,0.015,1.0714285714285714
pilas,PilaEnlazada,size,no_vacia,10000,100000,10.0,0.015,0.015,1.0
