bloque,implementacion,metodo,escenario,semilla,n_inicial,n_final,k,capacidad_antes,capacidad_despues,crecimiento,n_efectivo,observaciones,min_ns,q1_ns,mediana_ns,q3_ns,max_ns,iqr_ns,media_ns
colas,ColaArreglo,dequeue,general,20260932,10,9,2000,10,10,false,10,10,38.85,38.9,38.95,40.325,41.55,1.4250000000000043,39.63
colas,ColaArreglo,dequeue,general,20261022,100,99,2000,100,100,false,100,10,4.4,4.7375,4.95,5.1375,13.85,0.40000000000000036,6.63
colas,ColaArreglo,dequeue,general,20261922,1000,999,200,1000,1000,false,1000,10,25.0,27.25,29.25,33.5,47.5,6.25,31.85
colas,ColaArreglo,dequeue,general,20270922,10000,9999,20,10000,10000,false,10000,10,10.0,15.0,15.0,18.75,30.0,3.75,16.5
colas,ColaArreglo,dequeue,general,20360922,100000,99999,3,100000,100000,false,100000,10,0.0,33.333,33.333,58.3335,233.333,25.000500000000002,56.6665
colas,ColaEnlazada,dequeue,general,20260932,10,9,2000,-1,-1,false,10,10,40.3,41.175,41.5,41.625,45.0,0.45000000000000284,41.675
colas,ColaEnlazada,dequeue,general,20261022,100,99,2000,-1,-1,false,100,10,5.85,17.575,21.35,25.1125,51.4,7.537500000000001,22.095
colas,ColaEnlazada,dequeue,general,20261922,1000,999,200,-1,-1,false,1000,10,12.5,14.125,16.0,20.375,26.5,6.25,17.25
colas,ColaEnlazada,dequeue,general,20270922,10000,9999,20,-1,-1,false,10000,10,45.0,50.0,55.0,76.25,95.0,26.25,63.5
colas,ColaEnlazada,dequeue,general,20360922,100000,99999,3,-1,-1,false,100000,10,33.333,66.667,100.0,133.333,266.667,66.666,113.33340000000001
colas,ColaArreglo,enqueue,crecimiento_forzado,20260932,10,11,2000,10,20,true,10,10,51.35,54.1625,57.45,59.8125,74.55,5.649999999999999,59.54
colas,ColaArreglo,enqueue,crecimiento_forzado,20261022,100,101,2000,100,200,true,100,10,142.7,143.275,143.7,145.7,154.55,2.424999999999983,145.12
colas,ColaArreglo,enqueue,crecimiento_forzado,20261922,1000,1001,200,1000,2000,true,1000,10,1811.0,1880.5,1954.75,2079.625,2406.5,199.125,2001.75
colas,ColaArreglo,enqueue,crecimiento_forzado,20270922,10000,10001,20,10000,20000,true,10000,10,17020.0,18286.25,18380.0,19206.25,22530.0,920.0,18868.5
colas,ColaArreglo,enqueue,crecimiento_forzado,20360922,100000,100001,3,100000,200000,true,100000,10,242566.667,263041.66675,270700.0,285249.99974999996,289700.0,22208.332999999984,271216.6667
colas,ColaArreglo,enqueue,secuencia_amortizada,20260932,0,10,10,4,16,multiple,10,10,40.0,50.0,55.0,60.0,70.0,10.0,55.0
colas,ColaArreglo,enqueue,secuencia_amortizada,20261022,0,100,100,4,128,multiple,100,10,35.0,35.25,36.0,36.0,40.0,0.75,36.1
colas,ColaArreglo,enqueue,secuencia_amortizada,20261922,0,1000,1000,4,1024,multiple,1000,10,35.5,36.05,36.55,38.099999999999994,42.4,2.049999999999997,37.37
colas,ColaArreglo,enqueue,secuencia_amortizada,20270922,0,10000,10000,4,16384,multiple,10000,10,8.53,8.6075,8.665,8.8075,8.96,0.1999999999999993,8.702
colas,ColaArreglo,enqueue,secuencia_amortizada,20360922,0,100000,100000,4,131072,multiple,100000,10,5.657,5.715,5.7995,5.88875,6.15,0.17375000000000007,5.8197
colas,ColaEnlazada,enqueue,secuencia_amortizada,20260932,0,10,10,-1,-1,NA,10,10,40.0,40.0,50.0,50.0,60.0,10.0,47.0
colas,ColaEnlazada,enqueue,secuencia_amortizada,20261022,0,100,100,-1,-1,NA,100,10,34.0,34.0,34.0,34.0,39.0,0.0,34.9
colas,ColaEnlazada,enqueue,secuencia_amortizada,20261922,0,1000,1000,-1,-1,NA,1000,10,34.9,35.025,35.150000000000006,35.375,42.3,0.3500000000000014,35.89
colas,ColaEnlazada,enqueue,secuencia_amortizada,20270922,0,10000,10000,-1,-1,NA,10000,10,17.63,21.47,26.23,29.1,39.26,7.630000000000003,26.176
colas,ColaEnlazada,enqueue,secuencia_amortizada,20360922,0,100000,100000,-1,-1,NA,100000,10,3.587,3.6655,3.7055,3.7455,3.876,0.07999999999999963,3.7145
colas,ColaArreglo,enqueue,sin_redimensionamiento,20260932,10,11,2000,11,11,false,10,10,34.65,34.824999999999996,35.375,35.9375,37.5,1.1125000000000043,35.5
colas,ColaArreglo,enqueue,sin_redimensionamiento,20261022,100,101,2000,101,101,false,100,10,32.2,33.55,34.05,35.425,37.8,1.875,34.43
colas,ColaArreglo,enqueue,sin_redimensionamiento,20261922,1000,1001,200,1001,1001,false,1000,10,7.5,13.875,21.75,25.875,36.0,12.0,20.3
colas,ColaArreglo,enqueue,sin_redimensionamiento,20270922,10000,10001,20,10001,10001,false,10000,10,55.0,60.0,65.0,73.75,105.0,13.75,69.5
colas,ColaArreglo,enqueue,sin_redimensionamiento,20360922,100000,100001,3,100001,100001,false,100000,10,33.333,41.6665,66.667,100.0,266.667,58.3335,96.66669999999999
colas,ColaEnlazada,enqueue,sin_redimensionamiento,20260932,10,11,2000,-1,-1,NA,10,10,11.65,13.737499999999999,14.275,16.7,18.05,2.9625000000000004,14.969999999999999
colas,ColaEnlazada,enqueue,sin_redimensionamiento,20261022,100,101,2000,-1,-1,NA,100,10,17.7,18.55,19.549999999999997,20.725,25.4,2.1750000000000007,20.015
colas,ColaEnlazada,enqueue,sin_redimensionamiento,20261922,1000,1001,200,-1,-1,NA,1000,10,39.0,39.625,42.25,44.375,90.0,4.75,48.45
colas,ColaEnlazada,enqueue,sin_redimensionamiento,20270922,10000,10001,20,-1,-1,NA,10000,10,10.0,46.25,67.5,88.75,115.0,42.5,66.0
colas,ColaEnlazada,enqueue,sin_redimensionamiento,20360922,100000,100001,3,-1,-1,NA,100000,10,0.0,33.333,33.333,33.333,66.667,0.0,33.3331
colas,ColaArreglo,front,general,20260932,10,10,50000,11,11,false,10,10,3.826,3.84,3.8520000000000003,3.9055,4.392,0.06550000000000011,3.9164000000000003
colas,ColaArreglo,front,general,20261022,100,100,50000,101,101,false,100,10,0.78,0.7805,0.784,0.794,0.804,0.013500000000000068,0.788
colas,ColaArreglo,front,general,20261922,1000,1000,50000,1001,1001,false,1000,10,0.014,0.016,0.016,0.016,0.016,0.0,0.0156
colas,ColaArreglo,front,general,20270922,10000,10000,50000,10001,10001,false,10000,10,0.014,0.016,0.016,0.016,0.016,0.0,0.0156
colas,ColaArreglo,front,general,20360922,100000,100000,50000,100001,100001,false,100000,10,0.014,0.0145,0.016,0.016,0.018,0.0014999999999999996,0.0156
colas,ColaEnlazada,front,general,20260932,10,10,50000,-1,-1,false,10,10,0.014,0.016,0.016,0.016,0.016,0.0,0.0156
colas,ColaEnlazada,front,general,20261022,100,100,50000,-1,-1,false,100,10,0.014,0.014,0.014,0.0155,0.016,0.0014999999999999996,0.014599999999999998
colas,ColaEnlazada,front,general,20261922,1000,1000,50000,-1,-1,false,1000,10,0.02,0.021,0.024,0.0255,0.026,0.004499999999999997,0.023399999999999997
colas,ColaEnlazada,front,general,20270922,10000,10000,50000,-1,-1,false,10000,10,0.018,0.018,0.02,0.02,0.026,0.0020000000000000018,0.019999999999999997
colas,ColaEnlazada,front,general,20360922,100000,100000,50000,-1,-1,false,100000,10,0.014,0.014,0.014,0.016,0.018,0.002,0.015
colas,ColaArreglo,isEmpty,no_vacia,20260932,10,10,50000,11,11,false,10,10,2.048,2.05,2.051,2.138,2.19,0.08800000000000008,2.0904
colas,ColaArreglo,isEmpty,no_vacia,20261022,100,100,50000,101,101,false,100,10,0.398,0.404,0.405,0.4075,0.586,0.0034999999999999476,0.4236
colas,ColaArreglo,isEmpty,no_vacia,20261922,1000,1000,50000,1001,1001,false,1000,10,0.0,0.0,0.001,0.002,0.002,0.002,0.001
colas,ColaArreglo,isEmpty,no_vacia,20270922,10000,10000,50000,10001,10001,false,10000,10,0.0,0.0,0.0,0.002,0.002,0.002,0.0008
colas,ColaArreglo,isEmpty,no_vacia,20360922,100000,100000,50000,100001,100001,false,100000,10,0.0,0.0,0.0,0.0,0.002,0.0,0.0002
colas,ColaEnlazada,isEmpty,no_vacia,20260932,10,10,50000,-1,-1,false,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
colas,ColaEnlazada,isEmpty,no_vacia,20261022,100,100,50000,-1,-1,false,100,10,0.0,0.0,0.0,0.002,0.002,0.002,0.0008
colas,ColaEnlazada,isEmpty,no_vacia,20261922,1000,1000,50000,-1,-1,false,1000,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
colas,ColaEnlazada,isEmpty,no_vacia,20270922,10000,10000,50000,-1,-1,false,10000,10,0.0,0.0,0.0,0.0015,0.002,0.0015,0.0006000000000000001
colas,ColaEnlazada,isEmpty,no_vacia,20360922,100000,100000,50000,-1,-1,false,100000,10,0.0,0.0,0.0,0.0,0.002,0.0,0.0004
colas,ColaArreglo,size,no_vacia,20260932,10,10,50000,11,11,false,10,10,1.182,1.184,1.185,1.2890000000000001,1.324,0.1050000000000002,1.226
colas,ColaArreglo,size,no_vacia,20261022,100,100,50000,101,101,false,100,10,0.606,0.608,0.609,0.61,0.61,0.0020000000000000018,0.6088
colas,ColaArreglo,size,no_vacia,20261922,1000,1000,50000,1001,1001,false,1000,10,0.014,0.0145,0.016,0.016,0.016,0.0014999999999999996,0.0154
colas,ColaArreglo,size,no_vacia,20270922,10000,10000,50000,10001,10001,false,10000,10,0.014,0.0145,0.016,0.016,0.016,0.0014999999999999996,0.0154
colas,ColaArreglo,size,no_vacia,20360922,100000,100000,50000,100001,100001,false,100000,10,0.014,0.014,0.014,0.014,0.016,0.0,0.0142
