bloque,implementacion,metodo,escenario,semilla,n_inicial,n_final,k,capacidad_antes,capacidad_despues,crecimiento,n_efectivo,observaciones,min_ns,q1_ns,mediana_ns,q3_ns,max_ns,iqr_ns,media_ns
pilas,PilaEnlazada,pop,general,20360922,100000,99999,3,-1,-1,false,100000,10,33.333,66.667,83.3335,100.0,133.333,33.333,83.3333
pilas,PilaArreglo,push,crecimiento_forzado,20260932,10,11,2000,10,20,true,10,10,44.45,46.025,47.225,49.0875,57.6,3.0625,48.989999999999995
pilas,PilaArreglo,push,crecimiento_forzado,20261022,100,101,2000,100,200,true,100,10,89.5,93.4625,97.025,102.51249999999999,161.9,9.049999999999983,104.7
pilas,PilaArreglo,push,crecimiento_forzado,20261922,1000,1001,200,1000,2000,true,1000,10,967.0,983.875,1046.0,1352.125,1656.0,368.25,1168.2
pilas,PilaArreglo,push,crecimiento_forzado,20270922,10000,10001,20,10000,20000,true,10000,10,12410.0,13406.25,13800.0,14386.25,15125.0,980.0,13897.5
pilas,PilaArreglo,push,crecimiento_forzado,20360922,100000,100001,3,100000,200000,true,100000,10,110600.0,112725.00025,116483.33350000001,121366.66649999999,125033.333,8641.666249999995,117040.0
pilas,PilaArreglo,push,secuencia_amortizada,20260932,0,10,10,4,16,multiple,10,10,40.0,50.0,50.0,57.5,100.0,7.5,57.0
pilas,PilaArreglo,push,secuencia_amortizada,20261022,0,100,100,4,128,multiple,100,10,36.0,37.0,37.0,37.0,40.0,0.0,37.3
pilas,PilaArreglo,push,secuencia_amortizada,20261922,0,1000,1000,4,1024,multiple,1000,10,34.6,34.8,34.849999999999994,35.675000000000004,40.9,0.8750000000000071,35.7
pilas,PilaArreglo,push,secuencia_amortizada,20270922,0,10000,10000,4,16384,multiple,10000,10,6.47,6.8225,7.34,9.2275,10.93,2.4049999999999994,8.088
pilas,PilaArreglo,push,secuencia_amortizada,20360922,0,100000,100000,4,131072,multiple,100000,10,4.499,4.62875,4.702500000000001,4.7625,5.067,0.13375000000000004,4.7045
pilas,PilaEnlazada,push,secuencia_amortizada,20260932,0,10,10,-1,-1,NA,10,10,50.0,60.0,60.0,70.0,90.0,10.0,65.0
pilas,PilaEnlazada,push,secuencia_amortizada,20261022,0,100,100,-1,-1,NA,100,10,33.0,33.25,39.0,41.0,43.0,7.75,37.8
pilas,PilaEnlazada,push,secuencia_amortizada,20261922,0,1000,1000,-1,-1,NA,1000,10,32.3,34.725,36.400000000000006,37.975,42.7,3.25,36.63
pilas,PilaEnlazada,push,secuencia_amortizada,20270922,0,10000,10000,-1,-1,NA,10000,10,6.33,6.465,6.525,6.717499999999999,7.13,0.2524999999999995,6.6049999999999995
pilas,PilaEnlazada,push,secuencia_amortizada,20360922,0,100000,100000,-1,-1,NA,100000,10,3.468,3.528,3.7015000000000002,4.5785,32.602,1.0505,6.861199999999999
pilas,PilaArreglo,push,sin_redimensionamiento,20260932,10,11,2000,11,11,false,10,10,7.5,7.55,7.625,7.6875,11.55,0.13750000000000018,8.045
pilas,PilaArreglo,push,sin_redimensionamiento,20261022,100,101,2000,101,101,false,100,10,4.9,5.25,5.825,6.862500000000001,8.9,1.6125000000000007,6.255000000000001
pilas,PilaArreglo,push,sin_redimensionamiento,20261922,1000,1001,200,1001,1001,false,1000,10,8.0,14.375,21.25,25.75,30.0,11.375,19.85
pilas,PilaArreglo,push,sin_redimensionamiento,20270922,10000,10001,20,10001,10001,false,10000,10,30.0,35.0,37.5,43.75,55.0,8.75,39.5
pilas,PilaArreglo,push,sin_redimensionamiento,20360922,100000,100001,3,100001,100001,false,100000,10,0.0,33.333,33.333,33.333,66.667,0.0,33.3332
pilas,PilaEnlazada,push,sin_redimensionamiento,20260932,10,11,2000,-1,-1,NA,10,10,36.5,45.375,49.675,50.4125,57.15,5.037500000000001,47.97
pilas,PilaEnlazada,push,sin_redimensionamiento,20261022,100,101,2000,-1,-1,NA,100,10,10.25,15.9375,25.674999999999997,38.6375,57.05,22.700000000000003,28.5
pilas,PilaEnlazada,push,sin_redimensionamiento,20261922,1000,1001,200,-1,-1,NA,1000,10,30.0,30.75,32.25,33.875,37.5,3.125,32.75
pilas,PilaEnlazada,push,sin_redimensionamiento,20270922,10000,10001,20,-1,-1,NA,10000,10,15.0,25.0,30.0,30.0,35.0,5.0,27.5
pilas,PilaEnlazada,push,sin_redimensionamiento,20360922,100000,100001,3,-1,-1,NA,100000,10,0.0,0.0,33.333,33.333,100.0,33.333,26.666499999999996
pilas,PilaArreglo,size,no_vacia,20260932,10,10,50000,11,11,false,10,10,0.014,0.016,0.016,0.016,0.016,0.0,0.0156
pilas,PilaArreglo,size,no_vacia,20261022,100,100,50000,101,101,false,100,10,0.014,0.014,0.014,0.0155,0.016,0.0014999999999999996,0.014599999999999998
pilas,PilaArreglo,size,no_vacia,20261922,1000,1000,50000,1001,1001,false,1000,10,0.014,0.0145,0.016,0.016,0.016,0.0014999999999999996,0.0154
pilas,PilaArreglo,size,no_vacia,20270922,10000,10000,50000,10001,10001,false,10000,10,0.014,0.014,0.014,0.016,0.018,0.002,0.015
pilas,PilaArreglo,size,no_vacia,20360922,100000,100000,50000,100001,100001,false,100000,10,0.014,0.014,0.016,0.016,0.016,0.002,0.0152
pilas,PilaEnlazada,size,no_vacia,20260932,10,10,50000,-1,-1,false,10,10,3.67,3.9989999999999997,4.23,4.401,4.444,0.40200000000000014,4.1716
pilas,PilaEnlazada,size,no_vacia,20261022,100,100,50000,-1,-1,false,100,10,0.608,0.61,0.612,0.626,0.64,0.016000000000000014,0.6188
pilas,PilaEnlazada,size,no_vacia,20261922,1000,1000,50000,-1,-1,false,1000,10,0.014,0.014,0.014,0.014,0.016,0.0,0.014400000000000001
pilas,PilaEnlazada,size,no_vacia,20270922,10000,10000,50000,-1,-1,false,10000,10,0.014,0.014,0.015,0.017499999999999998,0.02,0.003499999999999998,0.0158
pilas,PilaEnlazada,size,no_vacia,20360922,100000,100000,50000,-1,-1,false,100000,10,0.014,0.014,0.015,0.016,0.016,0.002,0.015
