bloque,implementacion,metodo,escenario,semilla,n_inicial,k,observaciones,min_ns,q1_ns,mediana_ns,q3_ns,max_ns,iqr_ns,media_ns
listas,ListaDobleConCola,addAfter,medio_nodo_prelocalizado,20270921,10000,20,10,20.0,20.0,27.5,30.0,35.0,10.0,26.5
listas,ListaDobleConCola,addAfter,medio_nodo_prelocalizado,20360921,100000,20,10,5.0,16.25,27.5,41.25,65.0,25.0,30.5
listas,ListaDobleSinCola,addAfter,medio_nodo_prelocalizado,20260931,10,200,10,24.0,30.25,34.5,40.0,68.0,9.75,37.65
listas,ListaDobleSinCola,addAfter,medio_nodo_prelocalizado,20261021,100,200,10,23.0,25.5,27.0,29.375,30.5,3.875,27.2
listas,ListaDobleSinCola,addAfter,medio_nodo_prelocalizado,20261921,1000,100,10,17.0,23.0,26.5,28.75,34.0,5.75,25.9
listas,ListaDobleSinCola,addAfter,medio_nodo_prelocalizado,20270921,10000,20,10,15.0,21.25,27.5,30.0,40.0,8.75,26.5
listas,ListaDobleSinCola,addAfter,medio_nodo_prelocalizado,20360921,100000,20,10,10.0,16.25,32.5,38.75,40.0,22.5,28.0
listas,ListaSimpleConCola,addAfter,medio_nodo_prelocalizado,20260931,10,200,10,52.0,58.125,64.75,70.25,74.0,12.125,64.15
listas,ListaSimpleConCola,addAfter,medio_nodo_prelocalizado,20261021,100,200,10,7.5,18.0,24.25,27.875,38.0,9.875,23.55
listas,ListaSimpleConCola,addAfter,medio_nodo_prelocalizado,20261921,1000,100,10,20.0,24.0,26.5,27.75,33.0,3.75,26.0
listas,ListaSimpleConCola,addAfter,medio_nodo_prelocalizado,20270921,10000,20,10,5.0,10.0,15.0,20.0,80.0,10.0,22.0
listas,ListaSimpleConCola,addAfter,medio_nodo_prelocalizado,20360921,100000,20,10,30.0,41.25,50.0,67.5,80.0,26.25,54.5
listas,ListaSimpleSinCola,addAfter,medio_nodo_prelocalizado,20260931,10,200,10,50.0,52.5,53.25,56.125,73.0,3.625,56.4
listas,ListaSimpleSinCola,addAfter,medio_nodo_prelocalizado,20261021,100,200,10,10.5,24.25,28.0,31.25,39.5,7.0,26.8
listas,ListaSimpleSinCola,addAfter,medio_nodo_prelocalizado,20261921,1000,100,10,18.0,22.0,23.5,25.75,47.0,3.75,26.0
listas,ListaSimpleSinCola,addAfter,medio_nodo_prelocalizado,20270921,10000,20,10,15.0,16.25,20.0,23.75,35.0,7.5,21.5
listas,ListaSimpleSinCola,addAfter,medio_nodo_prelocalizado,20360921,100000,20,10,15.0,25.0,30.0,40.0,45.0,15.0,31.5
listas,ListaDobleConCola,addBefore,final_nodo_prelocalizado,20260931,10,200,10,54.0,55.625,57.0,66.25,94.0,10.625,62.65
listas,ListaDobleConCola,addBefore,final_nodo_prelocalizado,20261021,100,200,10,26.5,28.0,29.0,30.375,32.5,2.375,29.2
listas,ListaDobleConCola,addBefore,final_nodo_prelocalizado,20261921,1000,100,10,21.0,22.0,23.5,25.0,29.0,3.0,23.7
listas,ListaDobleConCola,addBefore,final_nodo_prelocalizado,20270921,10000,20,10,0.0,10.0,15.0,20.0,50.0,10.0,17.0
listas,ListaDobleConCola,addBefore,final_nodo_prelocalizado,20360921,100000,20,10,30.0,35.0,35.0,47.5,65.0,12.5,42.0
listas,ListaDobleSinCola,addBefore,final_nodo_prelocalizado,20260931,10,200,10,28.0,31.5,32.0,34.25,37.5,2.75,32.65
listas,ListaDobleSinCola,addBefore,final_nodo_prelocalizado,20261021,100,200,10,22.0,25.625,26.0,34.125,39.5,8.5,29.05
listas,ListaDobleSinCola,addBefore,final_nodo_prelocalizado,20261921,1000,100,10,19.0,23.25,26.5,27.0,28.0,3.75,24.9
listas,ListaDobleSinCola,addBefore,final_nodo_prelocalizado,20270921,10000,20,10,5.0,20.0,25.0,28.75,35.0,8.75,23.5
listas,ListaDobleSinCola,addBefore,final_nodo_prelocalizado,20360921,100000,20,10,15.0,22.5,32.5,42.5,45.0,20.0,31.5
